Number,Name,Address1,Address2,Province,City,Postal,Latitude,Longitude
186,Hanover,1088 10 Street,RR 1,Ontario,Hanover,N4N 3B8,44.1572201,-80.99799620000002
187,McCowan/Sheppard,1900 McCowan Road,null,Ontario,Scarborough,M1S 4K1,43.7911799,-79.2600259
189,Bolton,50 McEwan Drive E,Unit J-7,Ontario,Bolton,L7E 2Y3,43.8626819,-79.7122213
190,New Liskeard,997453 C Highway 11 N,null,Ontario,New Liskeard,P0J 1P0,47.5315831,-79.6736172
192,Aurora,15380 Bayview Avenue,Unit A7 Home Depot Centre Bldg A,Ontario,Aurora,L4G 7J1,44.0081257,-79.4452924
193,Whitehorse,2 Chilkoot Way,null,Yukon Territory,Whitehorse,Y1A 6T5,60.73101620000001,-135.0723432
194,Granby,50 Rue Simonds N,null,Quebec,Granby,J2J 2L1,45.4158962,-72.75318779999999
196,Woodstock,337 Connell Street,Unit 2,New Brunswick,Woodstock,E7M 5G5,46.1659675,-67.59701179999999
197,Antigonish,133 Church Street,Unit A Antigonish Mall,Nova Scotia,Antigonish,B2G 2E3,45.6145982,-61.9832224
198,Gander,132 Bennett Drive,Gander Mall,Newfoundland,Gander,A1V 2H2,48.9514206,-54.60321880000001
199,Bridgewater,421 LaHave Street,Bridgewater Mall,Nova Scotia,Bridgewater,B4V 3A2,44.3773023,-64.5154716
201,Victoria (Broadmead),777 Royal Oak Drive,210 Broadmead Village Shopping Centre,British Columbia,Victoria,V8X 4V1,48.49758509999999,-123.3823094
202,Prince George,5750 Southridge Avenue,Unit 2,British Columbia,Prince George,V2N 7A1,53.86663429999999,-122.7819659
203,Merritt,2761 Forksdale Avenue,null,British Columbia,Merritt,V1K 1R9,50.12293380000001,-120.7615327
208,Victoria 1,530 Chatham Street,Unit 1,British Columbia,Victoria,V8T 5K1,48.4314757,-123.3681326
209,Westbank,3550 Carrington Road,Unit 101 Westbank Hub Centre,British Columbia,Westbank,V4T 2Z1,49.83580019999999,-119.6136519
212,Victoria 2,2955 Phipps Road,117 Westshore Village Shopping Centre,British Columbia,Victoria,V9B 0J9,48.43907979999999,-123.5056101
214,Creston,1000 Northwest Blvd,null,British Columbia,Creston,V0B 1G6,49.1048501,-116.5185129
216,Peace River,7725 100 Avenue,null,Alberta,Peace River,T8S 1M5,56.2314161,-117.3374514
218,Hinton,900 Carmichael Lane,Unit 460 Parks West Mall,Alberta,Hinton,T7V 1Y6,53.383654,-117.6257836
220,St Albert,700 St Albert Road,Unit 660,Alberta,St. Albert,T8N 7A5,53.6598601,-113.6334203
222,Nelson,1150 Lakeside Drive,Unit 130 Chahko Mika Mall,British Columbia,Nelson,V1L 5Z3,49.4991466,-117.2883842
223,Calgary McKenzie,4889 130 Avenue SE,Unit 9 South Trail Crossing,Alberta,Calgary,T2Z 4J2,50.9301101,-113.9651019
224,Fort St John,9600 93 Avenue,Unit E4 Totem Mall,British Columbia,Fort St. John,V1J 5Z2,56.2375613,-120.8427021
225,Trail,8238 Highway 3B,null,British Columbia,Trail,V1R 4W4,49.08895340000001,-117.6272034
226,Port Alberni,3500 Johnston Road,Unit 102 Alberni Mall,British Columbia,Port Alberni,V9Y 7W8,49.2650471,-124.7856321
228,Sechelt,308 5500 Sunshine Coast Highway,null,British Columbia,Sechelt,V0N 3A0,49.474611,-123.7469692
229,South Burnaby,7250 Market Crossing,CRU 11B,British Columbia,Burnaby,V5J 0A2,49.199555,-122.9816207
230,Fernie,1791B 9 Avenue,null,British Columbia,Fernie,V0B 1M5,49.517231,-115.0586252
231,Dawson Creek,11000 8 Street,Unit 13 Dawson Mall,British Columbia,Dawson Creek,V1G 4K6,55.75001839999999,-120.2217096
233,Strathmore,109 900 Pine Road,null,Alberta,Strathmore,T1P 1C1,51.0361133,-113.3892301
234,Castlegar,100 1965 Columbia Avenue,null,British Columbia,Castlegar,V1N 2W8,49.2965674,-117.6536499
235,Coventry Hills,130 Country Village Road NE,Unit 453 Coventry Hills Centre,Alberta,Calgary,T3K 6B8,51.16142199999999,-114.0656851
236,High Level,1 Gateway Boulevard,null,Alberta,High Level,T0H 1Z0,58.50719289999999,-117.1482115
237,Duncan,2929 Green Road,null,British Columbia,Duncan,V9L 0C1,48.8004634,-123.7180059
238,Leduc,5400 Discovery Way,null,Alberta,Leduc,T9E 8L9,53.26848640000001,-113.5674168
239,Calgary Beacon Hills,11602 Sarcee Trail NW,Unit D1,Alberta,Calgary,T3R 0A1,51.1565013,-114.1618805
240,Regina 2,2223 Victoria Avenue East,Unit 54,Saskatchewan,Regina,S4N 6E4,50.44699809999999,-104.5509773
243,Drayton Valley,5203 Power Centre Blvd,null,Alberta,Drayton Valley,T7A 0A5,53.2248423,-114.9947353
244,St Paul,4210 50 Avenue,null,Alberta,St. Paul,T0A 3A2,53.9921427,-111.2748451
245,Wetaskiwin,3851 56 Street,null,Alberta,Wetaskiwin,T9A 2B1,52.9574899,-113.3885294
246,Bonnyville,4406 50 Avenue,null,Alberta,Bonnyville,T9N 1B7,54.26771429999999,-110.7272045
247,Rocky Mountain House,5440 46 Street,null,Alberta,Rocky Mountain House,T4T 1B7,52.382084,-114.9138362
248,Taber,5212 48 Avenue,null,Alberta,Taber,T1G 1S1,49.78418000000001,-112.1459307
249,Prince Rupert,500 2 Avenue W,Unit 355 Rupert Square Shopping Centre,British Columbia,Prince Rupert,V8J 3T6,54.3131408,-130.3278141
250,White Rock,2425 160 Street,Building P1 Grandview Corners,British Columbia,Surrey,V3Z 0C8,49.04667,-122.7797311
251,Vancouver West,1885 W 4 Avenue,null,British Columbia,Vancouver,V6J 1M4,49.2683224,-123.14766
252,Campbell River,1326 Island Highway,Discovery Harbour,British Columbia,Campbell River,V9W 8C9,50.0330993,-125.2485442
257,Olds,650 6900 46 Street,null,Alberta,Olds,T4H 0A2,51.7968279,-114.1389582
258,Surrey 2,10191 152 Street,Guildford Town Centre,British Columbia,Surrey,V3R 4G6,49.1875151,-122.8012579
259,Coquitlam,1090 Lougheed Highway,Unit 104,British Columbia,Coquitlam,V3K 6G9,49.2339502,-122.8624578
261,Nanaimo,1 6334 Metral Drive,null,British Columbia,Nanaimo,V9T 2L8,49.2301218,-124.043296
262,Edson,5919 2 Avenue,Unit 102,Alberta,Edson,T7E 1L8,53.57320319999999,-116.4557655
264,Vernon,2401 58 Avenue,Unit 400,British Columbia,Vernon,V1T 9T5,50.288532,-119.2624741
265,Whitecourt,4721 51 Street,null,Alberta,Whitecourt,T7S 1N6,54.13843560000001,-115.6858335
267,Lethbridge 2,3728 Mayor Magrath Drive S,Unit 10,Alberta,Lethbridge,T1K 7V1,49.6563139,-112.7941942
269,Grande Prairie 2,11801 100 Street,Unit 141 Prairie Mall,Alberta,Grande Prairie,T8V 3Y2,55.1878946,-118.7922118
272,Cochrane  AB,10 60 Quarry Street East,null,Alberta,Cochrane,T4C 0W6,51.18411829999999,-114.4683585
276,Greenwood,730 Central Avenue,null,Nova Scotia,Greenwood,B0P 1N0,44.9687298,-64.9389449
279,Miramichi,99 Douglastown Blvd,null,New Brunswick,Miramichi,E1V 0A4,47.0336781,-65.4910149
280,Dauphin,1450 Main Street S,Unit 6 Dauphin Market Place,Manitoba,Dauphin,R7N 3H4,51.1362303,-100.0598486
281,Portage La Prairie,1 2352 Sisson Drive,Unit D7,Manitoba,Portage La Prairie,R1N 3N8,49.9746369,-98.32467
282,Winkler,785 Norquay Dr,null,Manitoba,Winkler,R6W 2S2,49.1909545,-97.9319302
283,Grand Falls,180 Madawaska Road,Unit 125,New Brunswick,Grand Falls,E3Y 1A7,47.0550522,-67.743543
285,Val D'Or,1801 3ieme Avenue,Carrefour du Nord-Ouest,Quebec,Val d'Or,J9P 5K1,48.0960163,-77.8265078
287,Chicoutimi,1401 Boul Talbot,Unit F Place du Royaume,Quebec,Chicoutimi,G7H 5N6,48.4048406,-71.0553429
291,Carbonear,120 Columbus Drive,Trinity Conception Square,Newfoundland,Carbonear,A1Y 1B3,47.7278123,-53.2447855
292,Rouyn Noranda,100 du Terminus O,Unit 52-53 Les Promenades du Cuivre,Quebec,Rouyn-Noranda,J9X 6H7,48.2426164,-79.02481639999999
294,ST. Eustache,620 Boul Arthur-Sauve,null,Quebec,Saint-Eustache,J7R 5A8,45.57623,-73.9195098
295,Shawinigan,3423 Boul Royal,Les Galeries de Shawinigan,Quebec,Shawinigan,G9N 8K7,46.5637997,-72.7350589
296,Bathurst,1300 Saint Peter Avenue,Unit 4A,New Brunswick,Bathurst,E2A 3A6,47.6401565,-65.6780622
297,Amherst,142 S Albion Street,Unit 110 & 115 Amherst Centre Mall,Nova Scotia,Amherst,B4H 4H4,45.8119674,-64.1997751
300,Brandon,911 18 Street N,Unit H Corral Centre,Manitoba,Brandon,R7A 7S1,49.8668773,-99.9593234
301,Winnipeg 1,120 600 Empress Street,null,Manitoba,Winnipeg,R3G 0R5,49.8873894,-97.1969094
302,Winnipeg 2,1580 Regent Avenue W,Unit6 Crossroads Station Shopping Centre,Manitoba,Winnipeg,R2C 2Y9,49.8963686,-97.0663673
303,Kenora,1229 Highway 17 E,Unit 2,Ontario,Kenora,P9N 1L9,49.7592337,-94.4724715
304,Winnipeg 4,785 Dakota Street,Unit 2,Manitoba,Winnipeg,R2M 5M2,49.8318715,-97.1068162
305,Unicity,3647 Portage Avenue,Building C,Manitoba,Winnipeg,R3K 0X2,49.8846627,-97.3120783
306,Winnipeg North,915 Leila Avenue,Unit 4,Manitoba,Winnipeg,R2V 3J7,49.9538974,-97.14661749999999
307,Thompson,300 Mystery Lake Road,null,Manitoba,Thompson,R8N 0M2,55.7442199,-97.84827539999999
308,Steinbach,178 Highway 12 N,Unit 13 Clearspring Centre,Manitoba,Steinbach,R5G 1T7,49.5170768,-96.69121559999999
